fecha;kgs_netos
2022-12-30;163111
2022-12-28;3014580
2022-12-28;509320
2022-12-27;227042
2022-12-27;507859
2022-12-27;745466
2022-12-27;630281
2022-12-27;1302381
2022-12-26;106580
2022-12-26;511310
2022-12-26;986774
2022-12-26;1343166
2022-12-26;501977
2022-12-22;217782
2022-12-22;65640
2022-12-22;500647
2022-12-22;769329
2022-12-22;506441
2022-12-22;506900
2022-12-22;996111
2022-12-22;411080
2022-12-22;554837
2022-12-22;506700
2022-12-22;508560
2022-12-21;36366
2022-12-21;28800
2022-12-21;31500
2022-12-21;298133
2022-12-19;81573
2022-12-19;104700
2022-12-19;258691
2022-12-19;32628
2022-12-19;109801
2022-12-16;101065
2022-12-16;157700
2022-12-16;251177
2022-12-16;1031355
2022-12-15;170600
2022-12-15;535220
2022-12-15;514172
2022-12-15;527770
2022-12-13;519032
2022-12-07;780184
2022-12-06;190600
2022-12-06;122257
2022-12-06;213620
2022-12-02;206818
2022-11-30;773280
2022-11-30;159939
2022-11-28;152340
2022-11-28;517360
2022-11-25;509260
2022-11-25;662320
2022-11-24;182222
2022-11-24;767888
2022-11-18;131480
2022-11-17;145639
2022-11-17;438720
2022-11-17;323582
2022-11-17;31760
2022-11-16;86879
2022-11-16;30620
2022-11-16;512776
2022-11-16;361660
2022-11-15;163940
2022-11-11;1020305
2022-11-10;133180
2022-11-10;614182
2022-11-09;369021
2022-11-07;376221
2022-11-07;519756
2022-11-04;500589
2022-11-01;90506
2022-11-01;66400
2022-11-01;749179
2022-11-01;752733
2022-10-26;529460
2022-10-26;357903
2022-10-24;514700
2022-10-24;81520
2022-10-21;89120
2022-10-21;266320
2022-10-19;318060
2022-10-17;409818
2022-10-14;311180
2022-10-13;121820
2022-10-13;525514
2022-10-13;432367
2022-10-12;365700
2022-10-12;309660
2022-10-11;322220
2022-10-11;8561435
2022-10-11;316380
2022-10-11;2600082
2022-10-11;667684
2022-10-11;7450680
2022-10-11;750647
2022-10-05;1017680
2022-10-04;157569
2022-10-04;362360
2022-10-03;1030600
2022-09-30;514499
2022-09-30;352576
2022-09-29;127942
2022-09-29;239817
2022-09-29;525300
2022-09-28;233322
2022-09-28;506816
2022-09-27;623300
2022-09-27;235945
2022-09-27;298822
2022-09-27;373458
2022-09-26;168820
2022-09-23;373460
2022-09-22;386520
2022-09-21;223034
2022-09-21;1577391
2022-09-21;355646
2022-09-21;123681
2022-09-20;68840
